# INL run# wait_settle = 15# samples_per_meter_per_step = 1# NPLC = 100vref,3458A_volt,3458B_volt,CH1281_volt
-10.25,-10.24994818,-10.25002764,-10.2499852
-10.0,-9.999949015,-10.00002673,-9.9999856
-9.75,-9.749950844,-9.750027256,-9.7499866
-9.5,-9.499952291,-9.500027445,-9.4999877
-9.25,-9.249953666,-9.25002778,-9.2499885
-9.0,-8.999954147,-9.000026753,-8.9999881
-8.75,-8.749956195,-8.750026942,-8.7499882
-8.5,-8.499957848,-8.500027116,-8.4999895
-8.25,-8.249959047,-8.250026015,-8.2499887
-8.0,-7.999961037,-8.000026336,-7.9999904
-7.75,-7.749962074,-7.750026364,-7.7499907
-7.5,-7.499962878,-7.500026391,-7.4999912
-7.25,-7.249963755,-7.250025422,-7.2499916
-7.0,-6.999966213,-7.000025318,-6.9999925
-6.75,-6.749967002,-6.750025361,-6.7499929
-6.5,-6.499968654,-6.500025036,-6.4999932
-6.25,-6.24996937,-6.250024507,-6.2499935
-6.0,-5.999970818,-6.000023919,-5.9999937
-5.75,-5.749972324,-5.750023962,-5.749995
-5.5,-5.499972908,-5.500023139,-5.4999947
-5.25,-5.249974312,-5.25002324,-5.2499957
-5.0,-4.99997576,-5.000023356,-4.9999965
-4.75,-4.749977427,-4.750022768,-4.7499974
-4.5,-4.499978318,-4.50002218,-4.4999971
-4.25,-4.249979854,-4.250021797,-4.2499982
-4.0,-3.99998136,-4.000021913,-3.9999991
-3.75,-3.749982105,-3.750020914,-3.7499987
-3.5,-3.499983743,-3.500020722,-3.4999996
-3.25,-3.249985338,-3.250020515,-3.2500009
-3.0,-2.999986859,-3.000020162,-3.0000018
-2.75,-2.749987516,-2.750019252,-2.7500021
-2.5,-2.499988729,-2.500019206,-2.500003
-2.25,-2.249990382,-2.250019058,-2.2500039
-2.0,-1.999991449,-2.000018235,-2.0000039
-1.75,-1.749992809,-1.750017867,-1.750005
-1.5,-1.499994227,-1.500017558,-1.5000062
-1.25,-1.249995514,-1.250017424,-1.2500069
-1.0,-0.9999961711,-1.000016411,-1.0000073
-0.75,-0.7499976043,-0.7500163364,-0.7500077
-0.5,-0.4999987006,-0.5000157044,-0.5000092
-0.25,-0.2499994748,-0.2500145887,-0.2500091
0.0,1.61085627e-07,-1.334097716e-05,-8.7e-06
0.25,0.2499994309,0.2499873936,0.2499913
0.5,0.4999993303,0.4999888905,0.4999915
0.75,0.7499982633,0.7499898157,0.7499918
1.0,0.9999971816,0.9999900371,0.9999913
1.25,1.249996085,1.249990669,1.2499903
1.5,1.499995238,1.499991374,1.4999906
1.75,1.749993849,1.749991596,1.7499901
2.0,1.999992606,1.999992301,1.9999899
2.25,2.249992154,2.249993153,2.2499895
2.5,2.499991043,2.499993565,2.4999889
2.75,2.749989405,2.74999427,2.749988
3.0,2.999988059,2.999994301,2.9999877
3.25,3.249987505,3.249995798,3.2499873
3.5,3.499986482,3.499996181,3.4999869
3.75,3.749984917,3.7499963,3.7499862
4.0,3.999984289,3.999997327,3.9999855
4.25,4.249983134,4.249997344,4.249985
4.5,4.499981686,4.4999978,4.4999846
4.75,4.749980224,4.749998065,4.7499843
5.0,4.99997945,4.999999503,4.999984
5.25,5.249977973,5.249999534,5.249983
5.5,5.499976979,5.499999976,5.4999822
5.75,5.749976029,5.750000564,5.749982
6.0,5.999974552,6.000001034,5.9999808
6.25,6.249972826,6.250001417,6.2499806
6.5,6.499971876,6.500001653,6.4999796
6.75,6.749971175,6.750002432,6.7499792
7.0,6.999969742,7.000002521,6.9999786
7.25,7.249968001,7.250002699,7.2499777
7.5,7.499966802,7.500003477,7.4999772
7.75,7.749965677,7.750003713,7.7499766
8.0,7.999964537,8.000003627,7.9999753
8.25,8.249962928,8.250004068,8.2499751
8.5,8.499961992,8.500004847,8.4999739
8.75,8.749960471,8.750004746,8.7499731
9.0,8.999959404,9.000005407,8.999972
9.25,9.249957429,9.250005746,9.2499712
9.5,9.499956099,9.500006304,9.499971
9.75,9.749954724,9.750006174,9.7499697
10.0,9.999953101,10.00000603,9.9999685
10.25,10.24995139,10.25000695,10.2499681
